"Zvezna_drzava","Leto","BDP","Populacija"
"Kansas",2016,152511.5,2910844
"Kansas",2017,154456.6,2908718
"Kansas",2018,158192.7,2911359
"Kansas",2019,160059.3,2913314
"Kentucky",2010,172266.7,4348181
"Kentucky",2011,174202.7,4369821
"Kentucky",2012,176323.1,4386346
"Kentucky",2013,179499.1,4404659
"Kentucky",2014,179888.5,4414349
"Kentucky",2015,182487.9,4425976
"Kentucky",2016,183454.9,4438182
"Kentucky",2017,184600.8,4452268
"Kentucky",2018,187507.4,4461153
"Kentucky",2019,190811.5,4467673
"Louisiana",2010,247856.5,4544532
"Louisiana",2011,234299.7,4575625
"Louisiana",2012,233481.2,4600972
"Louisiana",2013,226345.4,4624527
"Louisiana",2014,232746.2,4644013
"Louisiana",2015,230434,4664628
"Louisiana",2016,225361.8,4678135
"Louisiana",2017,228819.3,4670560
"Louisiana",2018,235021.9,4659690
"Louisiana",2019,239967.2,4648794
"Maine",2010,53790.1,1327629
"Maine",2011,53088.2,1328284
"Maine",2012,52866.6,1327729
"Maine",2013,52456.3,1328009
"Maine",2014,53445.1,1330513
"Maine",2015,53879.3,1328262
"Maine",2016,55088.1,1331317
"Maine",2017,55964.7,1334612
"Maine",2018,57302.7,1339057
"Maine",2019,58793.3,1344212
"Maryland",2010,327088.7,5788645
"Maryland",2011,333963.8,5839419
"Maryland",2012,334555.5,5886992
"Maryland",2013,334431,5923188
"Maryland",2014,339991.3,5957283
"Maryland",2015,349146.8,5985562
"Maryland",2016,359987.5,6003323
"Maryland",2017,365857,6023868
"Maryland",2018,368810.4,6035802
"Maryland",2019,374039.3,6045680
"Massachusetts",2010,425028.7,6566307
"Massachusetts",2011,435158,6613583
"Massachusetts",2012,444478.2,6663005
"Massachusetts",2013,446190.4,6713315
"Massachusetts",2014,453778.2,6762596
"Massachusetts",2015,471979.2,6794228
"Massachusetts",2016,479184.9,6823608
"Massachusetts",2017,490874.1,6859789
"Massachusetts",2018,507806,6882635
"Massachusetts",2019,519961.6,6892503
"Michigan",2010,400941.8,9877510
"Michigan",2011,411427.2,9882412
"Michigan",2012,418742.3,9897145
"Michigan",2013,425327.3,9913065
"Michigan",2014,430935.6,9929848
"Michigan",2015,442287.6,9931715
"Michigan",2016,451025.9,9950571
"Michigan",2017,457341.5,9973114
"Michigan",2018,467828,9984072
"Michigan",2019,471648.1,9986857
"Minnesota",2010,285746.3,5310828
"Minnesota",2011,292275.1,5346143
"Minnesota",2012,296272.5,5376643
"Minnesota",2013,303222.5,5413479
"Minnesota",2014,312084,5451079
"Minnesota",2015,316863.3,5482032
"Minnesota",2016,321980,5522744
"Minnesota",2017,327667.5,5566230
"Minnesota",2018,337215.9,5606249
"Minnesota",2019,341041.4,5639632
"Mississippi",2010,100043.3,2970548
"Mississippi",2011,98765.3,2978731
"Mississippi",2012,99616.3,2983816
"Mississippi",2013,99456.4,2988711
"Mississippi",2014,99501.2,2990468
"Mississippi",2015,100013.6,2988471
"Mississippi",2016,100412.1,2987938
"Mississippi",2017,101071.7,2988510
"Mississippi",2018,102061.7,2981020
"Mississippi",2019,102656.4,2976149
"Missouri",2010,269057.9,5995974
"Missouri",2011,266254.6,6010275
"Missouri",2012,268861.9,6024367
"Missouri",2013,271475.9,6040715
"Missouri",2014,272786.8,6056202
"Missouri",2015,276316.7,6071732
"Missouri",2016,276210.9,6087135
"Missouri",2017,279264.3,6106670
"Missouri",2018,284696.3,6121623
"Missouri",2019,287659.3,6137428
"Montana",2010,40595.1,990697
"Montana",2011,41511.3,997316
"Montana",2012,42041.6,1003783
"Montana",2013,42429.7,1013569
"Montana",2014,43285.1,1021869
"Montana",2015,45042.5,1030475
"Montana",2016,44580.7,1040859
"Montana",2017,45480.6,1052482
"Montana",2018,46627.5,1060665
"Montana",2019,47916.3,1068778
"Nebraska",2010,97830.1,1829542
"Nebraska",2011,102685.1,1840672
"Nebraska",2012,102605.3,1853303
"Nebraska",2013,103974.8,1865279
"Nebraska",2014,107394.4,1879321
"Nebraska",2015,110752.9,1891277
"Nebraska",2016,111611.7,1905616
"Nebraska",2017,113754.2,1915947
"Nebraska",2018,115087.9,1925614
"Nebraska",2019,117395.2,1934408
"Nevada",2010,128878.9,2702405
"Nevada",2011,129748.1,2712730
"Nevada",2012,127789.1,2743996
"Nevada",2013,128341.2,2775970
"Nevada",2014,129405.2,2817628
"Nevada",2015,134892.2,2866939
"Nevada",2016,138638.9,2917563
"Nevada",2017,143590.9,2969905
"Nevada",2018,149663,3027341
"Nevada",2019,153728.6,3080156
"New Hampshire",2010,66460.5,1316762
"New Hampshire",2011,66859.3,1320202
"New Hampshire",2012,67635.7,1324232
"New Hampshire",2013,68124.5,1326622
"New Hampshire",2014,69506.5,1333341
"New Hampshire",2015,71419.1,1336350
"New Hampshire",2016,73022.7,1342307
"New Hampshire",2017,74253.6,1348787
"New Hampshire",2018,76165.3,1353465
"New Hampshire",2019,77240.3,1359711
"New Jersey",2010,516400.5,8799446
"New Jersey",2011,510773.3,8828117
"New Jersey",2012,519569,8844942
"New Jersey",2013,526889.9,8856972
"New Jersey",2014,524420.4,8864525
"New Jersey",2015,535284.5,8867949
"New Jersey",2016,540380.3,8870827
"New Jersey",2017,540656.6,8885525
"New Jersey",2018,549000.8,8886025
"New Jersey",2019,556731,8882190
"New Mexico",2010,87053.8,2064552
"New Mexico",2011,87225,2080450
"New Mexico",2012,87644.8,2087309
"New Mexico",2013,86624.8,2092273
"New Mexico",2014,89372.2,2089568
"New Mexico",2015,91679.5,2089291
"New Mexico",2016,91713.9,2091630
"New Mexico",2017,91772.3,2091784
"New Mexico",2018,93870.9,2092741
"New Mexico",2019,98765.7,2096829
"New York",2010,1267972,19399878
"New York",2011,1270516.7,19499241
"New York",2012,1323400.8,19572932
"New York",2013,1325490,19624447
