"Zvezna_drzava","Lastnost_prebivalstva","Vrednost"
"Pennsylvania","St_prebivalcev",12801989
"Pennsylvania","Mediana_starosti",40.8
"Pennsylvania","Delez_moskih",0.49
"Pennsylvania","Delez_belcev",0.796
"Rhode Island","St_prebivalcev",1059361
"Rhode Island","Mediana_starosti",40.1
"Rhode Island","Delez_moskih",0.488
"Rhode Island","Delez_belcev",0.787
"South Carolina","St_prebivalcev",5148714
"South Carolina","Mediana_starosti",39.9
"South Carolina","Delez_moskih",0.483
"South Carolina","Delez_belcev",0.667
"South Dakota","St_prebivalcev",884659
"South Dakota","Mediana_starosti",37.7
"South Dakota","Delez_moskih",0.508
"South Dakota","Delez_belcev",0.841
"Tennessee","St_prebivalcev",6829174
"Tennessee","Mediana_starosti",39
"Tennessee","Delez_moskih",0.487
"Tennessee","Delez_belcev",0.772
"Texas","St_prebivalcev",28995881
"Texas","Mediana_starosti",35.1
"Texas","Delez_moskih",0.496
"Texas","Delez_belcev",0.734
"Utah","St_prebivalcev",3205958
"Utah","Mediana_starosti",31.2
"Utah","Delez_moskih",0.502
"Utah","Delez_belcev",0.873
"Vermont","St_prebivalcev",623989
"Vermont","Mediana_starosti",42.8
"Vermont","Delez_moskih",0.495
"Vermont","Delez_belcev",0.938
"Virginia","St_prebivalcev",8535519
"Virginia","Mediana_starosti",38.5
"Virginia","Delez_moskih",0.492
"Virginia","Delez_belcev",0.67
"Washington","St_prebivalcev",7614893
"Washington","Mediana_starosti",37.9
"Washington","Delez_moskih",0.5
"Washington","Delez_belcev",0.742
"West Virginia","St_prebivalcev",1792147
"West Virginia","Mediana_starosti",42.9
"West Virginia","Delez_moskih",0.494
"West Virginia","Delez_belcev",0.931
"Wisconsin","St_prebivalcev",5822434
"Wisconsin","Mediana_starosti",39.9
"Wisconsin","Delez_moskih",0.497
"Wisconsin","Delez_belcev",0.852
"Wyoming","St_prebivalcev",578759
"Wyoming","Mediana_starosti",38.1
"Wyoming","Delez_moskih",0.511
"Wyoming","Delez_belcev",0.909
